subject,labelType,horizon,weighting,regime,meanIC,stdIC,icIR,tStat,neweyWestTStat,nDates
fundamental,xs,5,EW,HIGH_VOL,0.013485,0.085921,0.156944,1.803152,1.109613,132
fundamental,xs,10,EW,HIGH_VOL,0.013886,0.085972,0.161521,1.855736,0.952091,132
fundamental,xs,21,EW,HIGH_VOL,-0.003742,0.085325,-0.043861,-0.50392,-0.217978,132
fundamental,xs,63,EW,HIGH_VOL,0.023833,0.087787,0.27149,3.119186,0.823099,132
fundamental,resid,1,EW,ALL,0.00678,0.09049,0.074923,2.539655,2.558231,1149
fundamental,resid,3,EW,ALL,0.009949,0.092612,0.107431,3.63842,2.412085,1147
fundamental,resid,5,EW,ALL,0.011346,0.093422,0.121448,4.109534,2.187504,1145
fundamental,resid,10,EW,ALL,0.01359,0.096269,0.141171,4.766467,1.836705,1140
fundamental,resid,21,EW,ALL,0.016057,0.09988,0.16076,5.401622,1.461032,1129
fundamental,resid,63,EW,ALL,0.02847,0.1116,0.255108,8.410845,1.321999,1087
fundamental,resid,1,EW,BULL,0.005431,0.087362,0.062168,1.488132,1.447063,573
fundamental,resid,3,EW,BULL,0.008428,0.097588,0.086358,2.067195,1.37612,573
fundamental,resid,5,EW,BULL,0.010604,0.098143,0.108045,2.586319,1.387819,573
fundamental,resid,10,EW,BULL,0.013077,0.102846,0.12715,3.040984,1.184061,572
fundamental,resid,21,EW,BULL,0.011009,0.105584,0.104265,2.493661,0.705732,572
fundamental,resid,63,EW,BULL,0.038797,0.108273,0.358329,8.569982,1.687356,572
fundamental,resid,1,EW,BEAR,0.008729,0.0927,0.094166,0.922635,0.914566,96
fundamental,resid,3,EW,BEAR,0.00476,0.085141,0.055912,0.547828,0.368345,96
fundamental,resid,5,EW,BEAR,-0.000073,0.085128,-0.000857,-0.008392,-0.004804,96
fundamental,resid,10,EW,BEAR,-0.009396,0.083593,-0.112399,-1.101284,-0.472081,96
fundamental,resid,21,EW,BEAR,-0.009313,0.078905,-0.118022,-1.156373,-0.560417,96
fundamental,resid,63,EW,BEAR,-0.095609,0.06951,-1.375472,-13.193064,-5.689364,92
fundamental,resid,1,EW,SIDEWAYS,0.010341,0.093979,0.110036,2.037896,2.133237,343
fundamental,resid,3,EW,SIDEWAYS,0.017067,0.086469,0.197381,3.644881,2.569694,341
fundamental,resid,5,EW,SIDEWAYS,0.016684,0.088019,0.189555,3.49008,1.98709,339
fundamental,resid,10,EW,SIDEWAYS,0.023916,0.089119,0.268364,4.911874,2.202084,335
fundamental,resid,21,EW,SIDEWAYS,0.043855,0.093296,0.470064,8.461144,3.006619,324
fundamental,resid,63,EW,SIDEWAYS,0.060825,0.10137,0.600034,10.147498,3.663746,286
fundamental,resid,1,EW,HIGH_VOL,0.004076,0.0928,0.04392,0.5046,0.549933,132
fundamental,resid,3,EW,HIGH_VOL,0.001917,0.088834,0.021576,0.247886,0.185902,132
fundamental,resid,5,EW,HIGH_VOL,0.009341,0.089662,0.104179,1.196924,0.817277,132
fundamental,resid,10,EW,HIGH_VOL,0.006629,0.090671,0.073108,0.839946,0.417696,132
fundamental,resid,21,EW,HIGH_VOL,-0.012068,0.088043,-0.137071,-1.574826,-0.59343,132
fundamental,resid,63,EW,HIGH_VOL,0.000038,0.106656,0.000355,0.00408,0.001213,132
sentiment,fwd,1,EW,ALL,-0.000057,0.067765,-0.000835,-0.028297,-0.028315,1149
sentiment,fwd,3,EW,ALL,0.00252,0.066762,0.037753,1.278605,0.892729,1147
sentiment,fwd,5,EW,ALL,0.004732,0.067211,0.070403,2.382302,1.337809,1145
sentiment,fwd,10,EW,ALL,0.007466,0.065751,0.113547,3.833788,1.62239,1140
sentiment,fwd,21,EW,ALL,0.00858,0.063146,0.135877,4.565562,1.539787,1129
sentiment,fwd,63,EW,ALL,0.01003,0.056097,0.178804,5.89511,1.331344,1087
sentiment,fwd,1,EW,BULL,0.000813,0.067113,0.012118,0.29007,0.287052,573
sentiment,fwd,3,EW,BULL,0.005635,0.065269,0.086339,2.066728,1.543361,573
sentiment,fwd,5,EW,BULL,0.008649,0.06364,0.135908,3.253296,1.996853,573
sentiment,fwd,10,EW,BULL,0.011862,0.06176,0.192063,4.593479,2.1108,572
sentiment,fwd,21,EW,BULL,0.008881,0.058989,0.150556,3.600779,1.605112,572
sentiment,fwd,63,EW,BULL,0.013551,0.049091,0.27603,6.601684,1.771045,572
sentiment,fwd,1,EW,BEAR,0.003344,0.079904,0.041847,0.410018,0.420034,96
sentiment,fwd,3,EW,BEAR,0.000688,0.075851,0.009064,0.088807,0.060934,96
sentiment,fwd,5,EW,BEAR,0.002208,0.084536,0.026123,0.255951,0.141734,96
sentiment,fwd,10,EW,BEAR,0.007042,0.087705,0.080288,0.786655,0.363329,96
sentiment,fwd,21,EW,BEAR,0.022375,0.082929,0.269809,2.643573,1.167838,96
sentiment,fwd,63,EW,BEAR,0.00662,0.059105,0.111996,1.074231,1.452203,92
sentiment,fwd,1,EW,SIDEWAYS,-0.002851,0.071957,-0.039625,-0.733864,-0.737432,343
sentiment,fwd,3,EW,SIDEWAYS,-0.001534,0.070733,-0.021683,-0.400405,-0.31283,341
sentiment,fwd,5,EW,SIDEWAYS,0.000673,0.072582,0.009266,0.17061,0.101384,339
sentiment,fwd,10,EW,SIDEWAYS,0.002269,0.070348,0.032249,0.590254,0.289813,335
sentiment,fwd,21,EW,SIDEWAYS,0.006932,0.067694,0.102404,1.843273,0.660663,324
sentiment,fwd,63,EW,SIDEWAYS,0.009098,0.07083,0.128448,2.172251,0.473406,286
sentiment,fwd,1,EW,HIGH_VOL,-0.000023,0.04803,-0.000473,-0.005436,-0.005246,132
sentiment,fwd,3,EW,HIGH_VOL,0,0.055313,0,0,0,132
sentiment,fwd,5,EW,HIGH_VOL,-0.000235,0.05281,-0.004447,-0.051093,-0.045362,132
sentiment,fwd,10,EW,HIGH_VOL,0.002636,0.047406,0.055612,0.638938,0.530346,132
sentiment,fwd,21,EW,HIGH_VOL,0.001356,0.050282,0.026969,0.309849,0.19239,132
sentiment,fwd,63,EW,HIGH_VOL,0.000735,0.043858,0.016755,0.192502,0.476734,132
sentiment,xs,1,EW,ALL,-0.000058,0.067771,-0.00086,-0.029166,-0.029187,1149
sentiment,xs,3,EW,ALL,0.002522,0.066762,0.037779,1.279487,0.893327,1147
