subject,labelType,horizon,weighting,regime,decile,nObs,meanRet,medianRet
trend,fwd,10,EW,BULL,5,9324,0.6349,0.3557
trend,fwd,10,EW,BULL,6,9587,0.9848,0.6272
trend,fwd,10,EW,BULL,7,9515,1.0128,0.54
trend,fwd,10,EW,BULL,8,9358,0.8457,0.4384
trend,fwd,10,EW,BULL,9,9537,1.0272,0.373
trend,fwd,10,EW,BULL,10,9165,0.9513,0.6197
trend,fwd,10,VW,BULL,1,9724,0.4414,0.1171
trend,fwd,10,VW,BULL,2,9401,0.177,0.0861
trend,fwd,10,VW,BULL,3,9494,0.2913,0.1659
trend,fwd,10,VW,BULL,4,9379,0.3594,0.3495
trend,fwd,10,VW,BULL,5,9324,0.4005,0.3557
trend,fwd,10,VW,BULL,6,9587,0.6259,0.6272
trend,fwd,10,VW,BULL,7,9515,0.9923,0.54
trend,fwd,10,VW,BULL,8,9358,0.5434,0.4384
trend,fwd,10,VW,BULL,9,9537,0.8261,0.373
trend,fwd,10,VW,BULL,10,9165,0.5257,0.6197
trend,fwd,21,EW,BULL,1,9724,1.0367,0.4229
trend,fwd,21,EW,BULL,2,9401,0.8312,0.2875
trend,fwd,21,EW,BULL,3,9494,1.122,0.4736
trend,fwd,21,EW,BULL,4,9379,1.4401,1.1331
trend,fwd,21,EW,BULL,5,9324,1.3951,0.9113
trend,fwd,21,EW,BULL,6,9587,1.8253,1.3145
trend,fwd,21,EW,BULL,7,9515,1.9317,1.019
trend,fwd,21,EW,BULL,8,9358,1.8352,0.8726
trend,fwd,21,EW,BULL,9,9537,2.2952,0.9442
trend,fwd,21,EW,BULL,10,9165,1.9718,1.2089
trend,fwd,21,VW,BULL,1,9724,1.0241,0.4229
trend,fwd,21,VW,BULL,2,9401,0.6099,0.2875
trend,fwd,21,VW,BULL,3,9494,0.6714,0.4736
trend,fwd,21,VW,BULL,4,9379,0.9107,1.1331
trend,fwd,21,VW,BULL,5,9324,0.7466,0.9113
trend,fwd,21,VW,BULL,6,9587,1.1665,1.3145
trend,fwd,21,VW,BULL,7,9515,1.447,1.019
trend,fwd,21,VW,BULL,8,9358,1.1243,0.8726
trend,fwd,21,VW,BULL,9,9537,1.8011,0.9442
trend,fwd,21,VW,BULL,10,9165,1.1173,1.2089
trend,fwd,63,EW,BULL,1,9724,3.3188,1.1391
trend,fwd,63,EW,BULL,2,9401,4.2722,2.1472
trend,fwd,63,EW,BULL,3,9494,5.0133,3.0394
trend,fwd,63,EW,BULL,4,9379,5.5123,3.2897
