subject,horizon,weighting,decile,nObs,meanRet,medianRet
reversal_5d,21,EW,6,22553,1.567,0.9606
reversal_5d,21,EW,7,22477,1.7397,1.148
reversal_5d,21,EW,8,22429,1.6957,1.088
reversal_5d,21,EW,9,22563,1.7998,1.0699
reversal_5d,21,EW,10,21861,1.9694,1.1025
reversal_5d,21,VW,1,22837,0.9309,0.8773
reversal_5d,21,VW,2,22526,1.3674,1.0653
reversal_5d,21,VW,3,22466,1.2243,0.9004
reversal_5d,21,VW,4,22440,1.1614,0.96
reversal_5d,21,VW,5,22368,1.1043,0.9725
reversal_5d,21,VW,6,22553,1.0368,0.9606
reversal_5d,21,VW,7,22477,1.2829,1.148
reversal_5d,21,VW,8,22429,1.2983,1.088
reversal_5d,21,VW,9,22563,1.3594,1.0699
reversal_5d,21,VW,10,21861,1.3957,1.1025
reversal_5d,63,EW,1,22034,5.3342,2.8146
reversal_5d,63,EW,2,21781,5.4323,3.0759
reversal_5d,63,EW,3,21772,5.2015,2.9451
reversal_5d,63,EW,4,21706,5.1023,3.0427
reversal_5d,63,EW,5,21596,5.2211,3.1591
reversal_5d,63,EW,6,21808,5.1013,3.0536
reversal_5d,63,EW,7,21774,4.9171,2.9231
reversal_5d,63,EW,8,21704,5.0823,3.0726
reversal_5d,63,EW,9,21849,5.4231,3.1167
reversal_5d,63,EW,10,21062,6.3524,3.4063
reversal_5d,63,VW,1,22034,3.9079,2.8146
reversal_5d,63,VW,2,21781,4.1019,3.0759
reversal_5d,63,VW,3,21772,3.646,2.9451
reversal_5d,63,VW,4,21706,3.4534,3.0427
reversal_5d,63,VW,5,21596,3.6637,3.1591
reversal_5d,63,VW,6,21808,3.5296,3.0536
reversal_5d,63,VW,7,21774,3.4047,2.9231
reversal_5d,63,VW,8,21704,3.496,3.0726
reversal_5d,63,VW,9,21849,3.7334,3.1167
reversal_5d,63,VW,10,21062,3.9517,3.4063
